,candidate1,candidate2,party1,party2,share1,share2
UT-01,Rob Bishop (incumbent),Lee Castillo,Republican,Democratic,61.6,24.9
UT-02,Chris Stewart (incumbent),Shireen Ghorbani,Republican,Democratic,56.1,38.9
UT-03,John Curtis (incumbent),James Singer,Republican,Democratic,67.5,27.3
UT-04,Ben McAdams,Mia Love,Democratic,Republican,50.1,49.9
