,candidate1,candidate2,party1,party2,share1,share2
TN-01,Phil Roe,Marty Olsen,Republican,Democratic,77.1,21.0
TN-02,Tim Burchett,Renee Hoyos,Republican,Democratic,65.9,33.1
TN-03,Chuck Fleischmann,Danielle Mitchell,Republican,Democratic,63.7,34.5
TN-04,Scott DesJarlais,Mariah Phillips,Republican,Democratic,63.4,33.6
TN-05,Jim Cooper,Jody Ball,Democratic,Republican,67.8,32.2
TN-06,John Rose,Dawn Barlow,Republican,Democratic,69.5,28.3
TN-07,Mark Green,Justin Kanew,Republican,Democratic,66.9,32.1
TN-08,David Kustoff,Erika Pearson,Republican,Democratic,67.7,30.1
TN-09,Steve Cohen,Charlotte Bergmann,Democratic,Republican,80.0,19.2
