,candidate1,candidate2,party1,party2,share1,share2
RI-01,David Cicilline,Patrick Donovan,Democratic,Republican,66.7%,33.1%
RI-02,James Langevin,Sal Caiozzo,Democratic,Republican,63.5%,36.3%
