,candidate1,candidate2,party1,party2,share1,share2
ID-01,Russ Fulcher,Cristina McNeil,Republican,Democratic,62.7%,30.8%
ID-02,Mike Simpson,Aaron Swisher,Republican,Democratic,60.7%,39.3%
