,candidate1,candidate2,party1,party2,share1,share2
MS-01,Trent Kelly,Randy Wadkins,Republican,Democratic,66.9,32.4
MS-02,Bennie Thompson,Troy Ray,Democratic,Independent,71.8,21.7
MS-03,Michael Guest,Michael Evans,Republican,Democratic,62.3,36.7
MS-04,Steven Palazzo,Jeramey Anderson,Republican,Democratic,68.2,30.8
