,candidate1,candidate2,party1,party2,share1,share2
AZ-01,Tom O'Halleran,Wendy Rogers,Democratic,Republican,53.8,46.1
AZ-02,Ann Kirkpatrick,Lea Márquez Peterson,Democratic,Republican,54.7,45.2
AZ-03,Raúl Grijalva,Nicolas Pierson,Democratic,Republican,63.9,36.1
AZ-04,Paul Gosar,David Brill,Republican,Democratic,68.2,30.5
AZ-05,Andy Biggs,Joan Greene,Republican,Democratic,59.4,40.6
AZ-06,David Schweikert,Anita Malik,Republican,Democratic,55.2,44.8
AZ-07,Ruben Gallego,Gary Swing,Democratic,Green,85.6,14.2
AZ-09,Greg Stanton,Steve Ferrara,Democratic,Republican,61.1,38.9
