,candidate1,candidate2,party1,party2,share1,share2
NM-01,Deb Haaland,Janice Arnold-Jones,Democratic,Republican,59.1,36.3
NM-02,Xochitl Torres Small,Yvette Herrell,Democratic,Republican,50.9,49.1
NM-03,Ben Ray Luján,Jerald Steve McFall,Democratic,Republican,63.4,31.2
