,candidate1,candidate2,party1,party2,share1,share2
KS-01,Roger Marshall,Alan LaPolice,Republican,Democratic,68.1%,31.9%
KS-02,Steve Watkins,Paul Davis,Republican,Democratic,47.6%,46.8%
KS-03,Sharice Davids,Kevin Yoder,Democratic,Republican,53.6%,43.9%
KS-04,Ron Estes,James Thompson,Republican,Democratic,59.4%,40.6%
