,candidate1,candidate2,party1,party2,share1,share2
CO-01,Diana DeGette,Casper Stockham,Democratic,Republican,73.8%,23.1%
CO-02,Joe Neguse,Peter Yu,Democratic,Republican,60.3%,33.6%
CO-03,Scott Tipton,Diane Mitsch Bush,Republican,Democratic,51.5%,43.6%
CO-04,Ken Buck,Karen McCormick,Republican,Democratic,60.6%,39.4%
CO-05,Doug Lamborn,Stephany Rose Spaulding,Republican,Democratic,57.0%,39.3%
CO-06,Jason Crow,Mike Coffman,Democratic,Republican,54.1%,42.9%
CO-07,Ed Perlmutter,Mark Barrington,Democratic,Republican,60.4%,35.4%
