,candidate1,candidate2,party1,party2,share1,share2
IA-01,Abby Finkenauer,Rod Blum,Democratic,Republican,51.0%,45.9%
IA-02,Dave Loebsack,Christopher Peters,Democratic,Republican,54.8%,42.6%
IA-03,Cindy Axne,David Young,Democratic,Republican,49.3%,47.1%
IA-04,Steve King,J. D. Scholten,Republican,Democratic,50.3%,47.0%
