,candidate1,candidate2,party1,party2,share1,share2
HI-01,Ed Case,Cam Cavasso,Democratic,Republican,73.1,23.1
HI-02,Tulsi Gabbard (incumbent),Brian Evans,Democratic,Republican,77.4,22.6
