,candidate1,candidate2,party1,party2,share1,share2
SC-01,Joe Cunningham,Katie Arrington,Democratic,Republican,50.6%,49.2%
SC-02,Joe Wilson,Sean Carrigan,Republican,Democratic,56.2%,42.5%
SC-03,Jeff Duncan,Mary Geren,Republican,Democratic,67.8%,31.0%
SC-04,William Timmons,Brandon Brown,Republican,Democratic,59.6%,36.6%
SC-05,Ralph Norman,Archie Parnell,Republican,Democratic,57.0%,41.5%
SC-06,Jim Clyburn,Gerhard Gressmann,Democratic,Republican,70.1%,28.2%
SC-07,Tom Rice,Robert Williams,Republican,Democratic,59.6%,40.3%
