,candidate1,candidate2,party1,party2,share1,share2
AL-01,Bradley Byrne,Robert Kennedy Jr.,Republican,Democratic,63.1,36.8
AL-02,Martha Roby,Tabitha Isner,Republican,Democratic,61.4,38.4
AL-03,Mike Rogers,Mallory Hagan,Republican,Democratic,63.7,36.2
AL-04,Robert Aderholt,Lee Auman,Republican,Democratic,79.8,20.1
AL-05,Mo Brooks,Peter Joffrion,Republican,Democratic,61.0,38.9
AL-06,Gary Palmer,Danner Kline,Republican,Democratic,69.2,30.8
AL-07,Terri Sewell,"4,153",Democratic,Write-in,97.8,2.2
