,candidate1,candidate2,party1,party2,share1,share2
OK-01,Kevin Hern,Tim Gilpin,Republican,Democratic,59.3%,40.7%
OK-02,Markwayne Mullin,Jason Nichols,Republican,Democratic,65.0%,30.1%
OK-03,Frank Lucas,Frankie Robbins,Republican,Democratic,73.9%,26.1%
OK-04,Tom Cole,Mary Brannon,Republican,Democratic,63.1%,33.0%
OK-05,Kendra Horn,Steve Russell,Democratic,Republican,50.7%,49.3%
