,candidate1,candidate2,party1,party2,share1,share2
NH-01,Chris Pappas,Eddie Edwards,Democratic,Republican,53.6%,45.0%
NH-02,Ann McLane Kuster,Steve Negron,Democratic,Republican,55.5%,42.2%
