,candidate1,candidate2,party1,party2,share1,share2
KY-01,James Comer,Paul Walker,Republican,Democratic,68.6%,31.4%
KY-02,Brett Guthrie,Hank Linderman,Republican,Democratic,66.7%,31.1%
KY-03,John Yarmuth,Vickie Yates Glisson,Democratic,Republican,62.1%,36.6%
KY-04,Thomas Massie,Seth Hall,Republican,Democratic,62.2%,34.6%
KY-05,Hal Rogers,Kenneth Stepp,Republican,Democratic,78.9%,21.0%
KY-06,Andy Barr,Amy McGrath,Republican,Democratic,51.0%,47.8%
